t(s),Adsorbed H on surface 1,Total T surface 1
1e-07,303999973893.7876,300.0
2.25e-07,683999900470.072,300.0
3.8124999999999995e-07,1158999744954.58,300.0
5.765624999999999e-07,1752749450972.9778,300.0
8.207031249999999e-07,2494936427890.963,300.0
1.1258789062499999e-06,3422669905905.7046,300.0
1.5073486328125e-06,4582336373529.404,300.0
1.984185791015625e-06,6031918864473.864,300.0
2.5802322387695313e-06,7843896050678.3,300.0
3.325290298461914e-06,10108866084253.705,300.0
4.256612873077393e-06,12940076361881.586,300.0
5.420766091346741e-06,16479085670888.105,300.0
6.875957614183426e-06,20902841778986.88,300.0
8.694947017729283e-06,26432528276380.64,300.0
1.0968683772161603e-05,33344622901707.914,300.0
1.3810854715202004e-05,41984720095292.38,300.0
1.7363568394002505e-05,52784808637300.33,300.0
2.180446049250313e-05,66284867830759.18,300.0
2.7355575615628914e-05,83159861379302.06,300.0
3.4294469519536146e-05,104253477623427.11,300.0
4.296808689942018e-05,130620301537991.42,300.0
5.3810108624275226e-05,163578524574673.75,300.0
6.736263578034403e-05,204775823915300.25,300.0
8.430329472543004e-05,256271698958094.25,300.0
0.00010547911840678755,320640372272153.75,300.0
0.00013194889800848442,401099385085264.75,300.0
0.00016503612251060553,501670293673336.9,300.0
0.0002063951531382569,627379464906589.1,300.0
0.00025809394142282114,784508953613032.2,300.0
0.0003227174267785264,980909916411821.0,300.0
0.00040349678347315803,1226394093366047.0,300.0
0.0005044709793414475,1533222713927429.5,300.0
0.0006306887241768094,1916716932672553.5,300.0
0.0007884609052210117,2396019786109910.5,300.0
0.0009856761315262647,2995046940311750.0,300.0
0.0012321951644078308,3743672474490337.0,300.0
0.0015403439555097885,4679206973704040.0,300.0
0.0019255299443872356,5848238691513242.0,300.0
0.0024070124304840443,7308924940544399.0,300.0
0.0030088655381050556,9133840647422944.0,300.0
0.0037611819226313196,1.1413514618831698e+16,300.0
0.00470157740328915,1.4260811856842588e+16,300.0
0.0058770717541114376,1.781635234468933e+16,300.0
0.007346439692639296,2.225519274261091e+16,300.0
0.00918314961579912,2.779503619878155e+16,300.0
0.0114790370197489,3.4706274401376196e+16,300.0
0.014348896274686124,4.332420021397407e+16,300.0
0.017936220343357654,5.406375033922145e+16,300.0
