t(s),Adsorbed H on surface 1,Total T surface 1
1e-07,303999986946.8932,300.0
2.25e-07,683999950235.0321,300.0
3.8124999999999995e-07,1158999872477.275,300.0
5.765624999999999e-07,1752749725486.4426,300.0
8.207031249999999e-07,2494936963945.3584,300.0
1.1258789062499999e-06,3422670890452.5503,300.0
1.5073486328125e-06,4582338108639.002,300.0
1.984185791015625e-06,6031921834579.126,300.0
2.5802322387695313e-06,7843901028265.48,300.0
3.325290298461914e-06,10108874295781.883,300.0
4.256612873077393e-06,12940089748003.746,300.0
5.420766091346741e-06,16479107294261.035,300.0
6.875957614183426e-06,20902876462991.305,300.0
8.694947017729283e-06,26432583605016.25,300.0
1.0968683772161603e-05,33344710784294.53,300.0
1.3810854715202004e-05,41984859214265.66,300.0
1.7363568394002505e-05,52785028276567.55,300.0
2.180446049250313e-05,66285213862074.55,300.0
2.7355575615628914e-05,83160405621641.89,300.0
3.4294469519536146e-05,104254332473999.81,300.0
4.296808689942018e-05,130621642841375.23,300.0
5.3810108624275226e-05,163580627367129.88,300.0
6.736263578034403e-05,204779118286532.34,300.0
8.430329472543004e-05,256276857350070.25,300.0
0.00010547911840678755,320648445896347.75,300.0
0.00013194889800848442,401112017089351.2,300.0
0.00016503612251060553,501690052219659.0,300.0
0.0002063951531382569,627410363594800.9,300.0
0.00025809394142282114,784557264585777.9,300.0
0.0003227174267785264,980985440687598.4,300.0
0.00040349678347315803,1226512145404204.2,300.0
0.0005044709793414475,1533407221807125.0,300.0
0.0006306887241768094,1917005280674022.5,300.0
0.0007884609052210117,2396470378327366.0,300.0
0.0009856761315262647,2995751012981796.0,300.0
0.0012321951644078308,3744772541256470.0,300.0
0.0015403439555097885,4680925623720172.0,300.0
0.0019255299443872356,5850923542111659.0,300.0
0.0024070124304840443,7313118788940169.0,300.0
0.0030088655381050556,9140390913037618.0,300.0
0.0037611819226313196,1.1423744015610742e+16,300.0
0.00470157740328915,1.4276784422569082e+16,300.0
0.0058770717541114376,1.7841287852591428e+16,300.0
0.007346439692639296,2.2294111767954548e+16,300.0
0.00918314961579912,2.785576326727928e+16,300.0
0.0114790370197489,3.4800996145696396e+16,300.0
0.014348896274686124,4.3471882024283176e+16,300.0
0.017936220343357654,5.429387758253724e+16,300.0
0.022420375429197066,6.779548810094027e+16,300.0
0.028025569286496334,8.463219760152434e+16,300.0
0.03503206160812042,1.0561538195177845e+17,300.0
0.043790177010150526,1.3174691716466187e+17,300.0
0.054737821262688155,1.642600994614325e+17,300.0
0.0684223765783602,2.0466724381866166e+17,300.0
0.08552807072295025,2.5481383251699142e+17,300.0
0.10691018840368782,3.1693821811926886e+17,300.0
0.13363783550460978,3.9373448142387955e+17,300.0
0.16704739438076222,4.884139085669112e+17,300.0
0.20880934297595277,6.047574863562225e+17,300.0
0.26101177871994097,7.471476958939244e+17,300.0
0.32626482339992624,9.205627938721192e+17,300.0
0.40783112924990783,1.1305112197905768e+18,300.0
0.5097890115623848,1.3828789948934802e+18,300.0
0.6372363644529809,1.6836612507769948e+18,300.0
0.7965455555662262,2.0385537260703132e+18,300.0
0.9956820444577827,2.452395216272037e+18,300.0
1.2446026555722285,2.9284807112623555e+18,300.0
1.5557534194652856,3.467806928993525e+18,300.0
1.9446918743316068,4.0683600831302676e+18,300.0
2.430864942914509,4.724594640231875e+18,300.0
3.038581278643136,5.42726068271017e+18,300.0
3.79822669830392,6.163698773661755e+18,300.0
4.747783472879901,6.91863278764276e+18,300.0
5.934729441099876,7.675374006681723e+18,300.0
7.418411901374844,8.417243347069926e+18,300.0
9.273014976718555,9.128963162972759e+18,300.0
11.591268820898193,9.797785871387703e+18,300.0
14.489086126122741,1.0414203248655542e+19,300.0
18.111357757653426,1.0972182095072901e+19,300.0
22.639197297066783,1.146895101710697e+19,300.0
28.29899672133348,1.1904356620673286e+19,300.0
35.37374600166685,1.2279590281506345e+19,300.0
44.21718260208357,1.2594451457109897e+19,300.0
54.21718260208357,1.2827077625260976e+19,300.0
64.21718260208357,1.297347402863263e+19,300.0
74.21718260208357,1.30593723934774e+19,300.0
84.21718260208357,1.3106466011872571e+19,300.0
94.21718260208357,1.313107587478406e+19,300.0
104.21718260208357,1.3143575105375046e+19,300.0
114.21718260208357,1.314982622282931e+19,300.0
124.21718260208357,1.315292773307553e+19,300.0
134.21718260208357,1.3154460392001618e+19,300.0
144.21718260208357,1.315521626644106e+19,300.0
154.21718260208357,1.3155588678732085e+19,300.0
164.21718260208357,1.315577207318633e+19,300.0
174.21718260208357,1.3155862364052572e+19,300.0
184.21718260208357,1.31559068118181e+19,300.0
194.21718260208357,1.3155928690980157e+19,300.0
204.21718260208357,1.3155939460564744e+19,300.0
214.21718260208357,1.3155944761604635e+19,300.0
224.21718260208357,1.3155947370881524e+19,300.0
234.21718260208357,1.3155948655214916e+19,300.0
244.21718260208357,1.315594928738638e+19,300.0
254.21718260208357,1.3155949598551585e+19,300.0
264.21718260208354,1.315594975171223e+19,300.0
274.21718260208354,1.3155949827100422e+19,300.0
284.21718260208354,1.3155949864207735e+19,300.0
294.21718260208354,1.3155949882472565e+19,300.0
304.21718260208354,1.3155949891462816e+19,300.0
314.21718260208354,1.3155949895887966e+19,300.0
324.21718260208354,1.3155949898066098e+19,300.0
334.21718260208354,1.3155949899138212e+19,300.0
344.21718260208354,1.3155949899665922e+19,300.0
354.21718260208354,1.315594989992567e+19,300.0
364.21718260208354,1.3155949900053522e+19,300.0
374.21718260208354,1.3155949900116453e+19,300.0
384.21718260208354,1.315594990014743e+19,300.0
394.21718260208354,1.3155949900162677e+19,300.0
404.21718260208354,1.315594990017018e+19,300.0
414.21718260208354,1.3155949900173875e+19,300.0
424.21718260208354,1.3155949900175692e+19,300.0
434.21718260208354,1.3155949900176587e+19,300.0
444.21718260208354,1.3155949900176587e+19,300.0
454.21718260208354,1.3155949900176587e+19,300.0
464.21718260208354,1.3155949900176587e+19,300.0
474.21718260208354,1.3155949900176587e+19,300.0
484.21718260208354,1.3155949900176587e+19,300.0
494.21718260208354,1.3155949900176587e+19,300.0
504.21718260208354,1.3155949900176587e+19,300.0
514.2171826020835,1.3155949900176587e+19,300.0
524.2171826020835,1.3155949900176587e+19,300.0
534.2171826020835,1.3155949900176587e+19,300.0
544.2171826020835,1.3155949900176587e+19,300.0
554.2171826020835,1.3155949900176587e+19,300.0
564.2171826020835,1.3155949900176587e+19,300.0
574.2171826020835,1.3155949900176587e+19,300.0
584.2171826020835,1.3155949900176587e+19,300.0
594.2171826020835,1.3155949900176587e+19,300.0
604.2171826020835,1.3155949900176587e+19,300.0
614.2171826020835,1.3155949900176587e+19,300.0
624.2171826020835,1.3155949900176587e+19,300.0
634.2171826020835,1.3155949900176587e+19,300.0
644.2171826020835,1.3155949900176587e+19,300.0
654.2171826020835,1.3155949900176587e+19,300.0
664.2171826020835,1.3155949900176587e+19,300.0
674.2171826020835,1.3155949900176587e+19,300.0
684.2171826020835,1.3155949900176587e+19,300.0
694.2171826020835,1.3155949900176587e+19,300.0
704.2171826020835,1.3155949900176587e+19,300.0
714.2171826020835,1.3155949900176587e+19,300.0
724.2171826020835,1.3155949900176587e+19,300.0
734.2171826020835,1.3155949900176587e+19,300.0
744.2171826020835,1.3155949900176587e+19,300.0
754.2171826020835,1.3155949900176587e+19,300.0
764.2171826020835,1.3155949900176587e+19,300.0
774.2171826020835,1.3155949900176587e+19,300.0
784.2171826020835,1.3155949900176587e+19,300.0
794.2171826020835,1.3155949900176587e+19,300.0
804.2171826020835,1.3155949900176587e+19,300.0
814.2171826020835,1.3155949900176587e+19,300.0
824.2171826020835,1.3155949900176587e+19,300.0
834.2171826020835,1.3155949900176587e+19,300.0
844.2171826020835,1.3155949900176587e+19,300.0
854.2171826020835,1.3155949900176587e+19,300.0
864.2171826020835,1.3155949900176587e+19,300.0
874.2171826020835,1.3155949900176587e+19,300.0
884.2171826020835,1.3155949900176587e+19,300.0
894.2171826020835,1.3155949900176587e+19,300.0
904.2171826020835,1.3155949900176587e+19,300.0
914.2171826020835,1.3155949900176587e+19,300.0
924.2171826020835,1.3155949900176587e+19,300.0
934.2171826020835,1.3155949900176587e+19,300.0
944.2171826020835,1.3155949900176587e+19,300.0
954.2171826020835,1.3155949900176587e+19,300.0
964.2171826020835,1.3155949900176587e+19,300.0
974.2171826020835,1.3155949900176587e+19,300.0
984.2171826020835,1.3155949900176587e+19,300.0
994.2171826020835,1.3155949900176587e+19,300.0
1004.2171826020835,1.3155949900176587e+19,300.0
1014.2171826020835,1.3155949900176587e+19,300.0
1024.2171826020835,1.3155949900176587e+19,300.0
1034.2171826020835,1.3155949900176587e+19,300.0
1044.2171826020835,1.3155949900176587e+19,300.0
1054.2171826020835,1.3155949900176587e+19,300.0
1064.2171826020835,1.3155949900176587e+19,300.0
1074.2171826020835,1.3155949900176587e+19,300.0
1084.2171826020835,1.3155949900176587e+19,300.0
1094.2171826020835,1.3155949900176587e+19,300.0
1104.2171826020835,1.3155949900176587e+19,300.0
1114.2171826020835,1.3155949900176587e+19,300.0
1124.2171826020835,1.3155949900176587e+19,300.0
1134.2171826020835,1.3155949900176587e+19,300.0
1144.2171826020835,1.3155949900176587e+19,300.0
1154.2171826020835,1.3155949900176587e+19,300.0
1164.2171826020835,1.3155949900176587e+19,300.0
1174.2171826020835,1.3155949900176587e+19,300.0
1184.2171826020835,1.3155949900176587e+19,300.0
1194.2171826020835,1.3155949900176587e+19,300.0
1204.2171826020835,1.3155949900176587e+19,300.0
1214.2171826020835,1.3155949900176587e+19,300.0
1224.2171826020835,1.3155949900176587e+19,300.0
1234.2171826020835,1.3155949900176587e+19,300.0
1244.2171826020835,1.3155949900176587e+19,300.0
1254.2171826020835,1.3155949900176587e+19,300.0
1264.2171826020835,1.3155949900176587e+19,300.0
1274.2171826020835,1.3155949900176587e+19,300.0
1284.2171826020835,1.3155949900176587e+19,300.0
1294.2171826020835,1.3155949900176587e+19,300.0
1304.2171826020835,1.3155949900176587e+19,300.0
1314.2171826020835,1.3155949900176587e+19,300.0
1324.2171826020835,1.3155949900176587e+19,300.0
1334.2171826020835,1.3155949900176587e+19,300.0
1344.2171826020835,1.3155949900176587e+19,300.0
1354.2171826020835,1.3155949900176587e+19,300.0
