t(s),Adsorbed H on surface 1,Total T surface 1
1e-07,303999947787.5796,300.0
2.25e-07,683999800940.1746,300.0
3.8124999999999995e-07,1158999489909.2803,300.0
5.765624999999999e-07,1752748901946.3242,300.0
8.207031249999999e-07,2494935355782.912,300.0
1.1258789062499999e-06,3422667936813.829,300.0
1.5073486328125e-06,4582332903314.41,300.0
1.984185791015625e-06,6031912924272.678,300.0
2.5802322387695313e-06,7843886095524.076,300.0
3.325290298461914e-06,10108849661239.83,300.0
4.256612873077393e-06,12940049589725.373,300.0
5.420766091346741e-06,16479042424322.64,300.0
6.875957614183426e-06,20902772411343.695,300.0
8.694947017729283e-06,26432417619844.918,300.0
1.0968683772161603e-05,33344447138005.055,300.0
1.3810854715202004e-05,41984441860271.3,300.0
1.7363568394002505e-05,52784369364564.39,300.0
2.180446049250313e-05,66284175779783.4,300.0
2.7355575615628914e-05,83158772917792.12,300.0
3.4294469519536146e-05,104251767968060.81,300.0
4.296808689942018e-05,130617619020251.88,300.0
5.3810108624275226e-05,163574319163552.3,300.0
6.736263578034403e-05,204769235512634.28,300.0
8.430329472543004e-05,256261382840243.72,300.0
0.00010547911840678755,320624226328273.8,300.0
0.00013194889800848442,401074123630174.0,300.0
0.00016503612251060553,501630781574966.4,300.0
0.0002063951531382569,627317677296247.8,300.0
0.00025809394142282114,784412350759195.4,300.0
0.0003227174267785264,980758905173771.5,300.0
0.00040349678347315803,1226158062202697.5,300.0
0.0005044709793414475,1532853840620946.2,300.0
0.0006306887241768094,1916140514943962.2,300.0
0.0007884609052210117,2395119145193374.0,300.0
0.0009856761315262647,2993639856411100.0,300.0
0.0012321951644078308,3741474413549978.0,300.0
0.0015403439555097885,4675773720031246.0,300.0
0.0019255299443872356,5842876888701709.0,300.0
0.0024070124304840443,7300552658011334.0,300.0
0.0030088655381050556,9120770190821538.0,300.0
0.0037611819226313196,1.1393114486178586e+16,300.0
0.00470157740328915,1.4228981102555512e+16,300.0
0.0058770717541114376,1.7766704241912586e+16,300.0
0.007346439692639296,2.2177788893212244e+16,300.0
0.00918314961579912,2.767442724070572e+16,300.0
0.0114790370197489,3.4518474664135176e+16,300.0
0.014348896274686124,4.303203007190174e+16,300.0
0.017936220343357654,5.360969199168927e+16,300.0
0.022420375429197066,6.673242125054135e+16,300.0
