x, y
307.55395683453236, 1111.1111111111095
317.2661870503597, 1111.1111111111095
324.8201438848921, 740.7407407407372
332.37410071942446, 740.7407407407372
341.0071942446043, 740.7407407407372
348.56115107913666, 1111.1111111111095
358.273381294964, 1481.4814814814818
367.9856115107914, 1481.4814814814818
374.46043165467626, 2222.222222222219
382.0143884892086, 2962.9629629629635
388.48920863309354, 4074.074074074073
397.1223021582734, 5555.555555555555
408.9928057553957, 9259.259259259255
403.59712230215825, 7777.777777777774
414.3884892086331, 11481.481481481482
419.7841726618705, 14814.81481481481
421.94244604316543, 16296.296296296292
423.0215827338129, 17777.777777777777
423.0215827338129, 17777.777777777777
426.2589928057554, 20000
428.41726618705036, 22592.59259259259
430.57553956834533, 24814.814814814814
433.8129496402878, 27407.407407407405
434.8920863309353, 29629.629629629628
437.0503597122302, 32592.59259259259
439.2086330935252, 35185.18518518518
441.3669064748201, 37407.40740740741
443.5251798561151, 41111.11111111111
445.68345323741005, 44074.07407407407
446.76258992805754, 46296.2962962963
448.9208633093525, 48888.88888888889
450, 53333.333333333336
451.0791366906475, 51851.851851851854
453.23741007194246, 56296.2962962963
456.4748201438849, 58148.148148148146
457.55395683453236, 61851.851851851854
457.55395683453236, 61851.851851851854
460.7913669064748, 68148.14814814815
460.7913669064748, 68148.14814814815
461.8705035971223, 70370.37037037036
458.63309352517985, 65185.18518518518
464.0287769784172, 73333.33333333334
468.3453237410072, 76296.29629629629
470.50359712230215, 79259.25925925926
470.50359712230215, 83703.70370370371
473.7410071942446, 87037.03703703704
475.8992805755396, 90370.37037037036
476.9784172661871, 93703.70370370371
480.2158273381295, 96296.29629629629
482.37410071942446, 99629.62962962964
487.76978417266184, 104814.81481481482
489.9280575539568, 106666.66666666667
485.61151079136687, 102222.22222222222
489.9280575539568, 106666.66666666667
494.24460431654677, 108518.51851851851
497.48201438848923, 110370.37037037036
500.71942446043164, 112222.22222222222
505.03597122302153, 110740.74074074074
509.3525179856115, 108518.51851851851
513.6690647482014, 105925.92592592593
516.9064748201439, 103333.33333333334
520.1438848920864, 99629.62962962964
523.3812949640287, 97777.77777777778
524.4604316546763, 95185.1851851852
526.6187050359712, 92592.59259259258
528.7769784172662, 89259.25925925927
530.9352517985611, 86666.66666666666
533.0935251798561, 83703.70370370371
535.2517985611511, 80740.74074074074
536.3309352517986, 77407.40740740742
539.568345323741, 73333.33333333334
539.568345323741, 73333.33333333334
541.7266187050359, 70370.37037037036
543.8848920863309, 67777.77777777778
546.0431654676258, 65185.18518518518
548.2014388489208, 61851.851851851854
551.4388489208633, 59259.259259259255
553.5971223021583, 55925.92592592593
553.5971223021583, 52962.96296296296
557.9136690647482, 49259.25925925926
558.9928057553957, 46296.2962962963
563.3093525179856, 42962.96296296296
563.3093525179856, 42962.96296296296
566.546762589928, 40000
570.863309352518, 36296.29629629629
573.0215827338129, 33333.33333333333
575.1798561151079, 30370.37037037037
578.4172661870504, 28148.148148148146
581.6546762589928, 25555.555555555555
583.8129496402878, 23333.333333333332
588.1294964028777, 21111.11111111111
592.4460431654676, 18518.51851851852
597.841726618705, 16666.666666666664
602.158273381295, 14444.444444444445
607.5539568345323, 12222.222222222219
620.5035971223022, 9629.629629629628
618.3453237410072, 10740.740740740737
615.1079136690647, 11111.11111111111
635.6115107913669, 8518.518518518518
630.2158273381294, 8888.88888888889
630.2158273381294, 8888.88888888889
648.5611510791366, 7407.407407407409
648.5611510791366, 7407.407407407409
657.1942446043165, 7037.0370370370365
665.8273381294964, 6296.296296296292
676.6187050359713, 6666.666666666664
684.1726618705036, 6666.666666666664
694.9640287769785, 5925.925925925927
702.5179856115108, 5925.925925925927
708.9928057553957, 6296.296296296292
717.6258992805756, 6296.296296296292
708.9928057553957, 6296.296296296292
717.6258992805756, 6296.296296296292
728.4172661870504, 6666.666666666664
734.8920863309352, 5925.925925925927
754.31654676259, 5925.925925925927
744.6043165467626, 5925.925925925927
744.6043165467626, 5925.925925925927
754.31654676259, 5185.1851851851825
762.9496402877697, 4074.074074074073
770.5035971223022, 4074.074074074073
770.5035971223022, 4074.074074074073
779.136690647482, 4074.074074074073
786.6906474820144, 3703.7037037037007
793.1654676258993, 3703.7037037037007
797.4820143884892, 2222.222222222219
