x,t=1.00e+00s,t=3.00e+00s,t=5.00e+00s
3.333333333333333703e-01,3.555555555555550029e+00,7.555555555555291569e+00,1.155555555555511660e+01
3.535353535353535914e-01,3.603509845934083966e+00,7.603509845933822398e+00,1.160350984593365453e+01
3.434343434343434809e-01,3.579328639934694856e+00,7.579328639934439060e+00,1.157932863993425876e+01
3.636363636363636465e-01,3.628099173553713364e+00,7.628099173553454015e+00,1.162809917355328082e+01
3.535353535353535914e-01,3.603509845934082634e+00,7.603509845933825062e+00,1.160350984593365098e+01
3.737373737373737570e-01,3.653096622793586157e+00,7.653096622793331250e+00,1.165309662279315361e+01
3.636363636363636465e-01,3.628099173553713808e+00,7.628099173553454904e+00,1.162809917355327904e+01
3.838383838383838675e-01,3.678502193653703678e+00,7.678502193653443442e+00,1.167850219365327291e+01
3.737373737373737570e-01,3.653096622793586157e+00,7.653096622793331250e+00,1.165309662279315361e+01
3.939393939393939781e-01,3.704315886134061930e+00,7.704315886133806579e+00,1.170431588613362983e+01
3.838383838383838675e-01,3.678502193653703678e+00,7.678502193653443442e+00,1.167850219365327114e+01
4.040404040404040886e-01,3.730537700234663578e+00,7.730537700234406451e+00,1.173053770023423148e+01
3.939393939393939781e-01,3.704315886134063263e+00,7.704315886133806579e+00,1.170431588613363338e+01
4.141414141414141992e-01,3.757167635955508622e+00,7.757167635955252827e+00,1.175716763595507963e+01
4.040404040404040886e-01,3.730537700234664467e+00,7.730537700234406451e+00,1.173053770023423148e+01
4.242424242424242542e-01,3.784205693296596618e+00,7.784205693296337714e+00,1.178420569329616896e+01
4.141414141414141992e-01,3.757167635955508178e+00,7.757167635955253715e+00,1.175716763595507253e+01
4.343434343434343647e-01,3.811651872257927565e+00,7.811651872257669105e+00,1.181165187225749591e+01
4.242424242424242542e-01,3.784205693296597062e+00,7.784205693296339490e+00,1.178420569329616185e+01
4.444444444444444753e-01,3.839506172839500575e+00,7.839506172839242559e+00,1.183950617283906581e+01
4.343434343434343647e-01,3.811651872257927121e+00,7.811651872257670881e+00,1.181165187225749591e+01
4.545454545454545858e-01,3.867768595041316093e+00,7.867768595041059854e+00,1.186776859504088222e+01
4.444444444444444753e-01,3.839506172839500575e+00,7.839506172839242559e+00,1.183950617283906581e+01
4.646464646464646964e-01,3.896439138863376339e+00,7.896439138863118323e+00,1.189643913886294158e+01
4.545454545454545858e-01,3.867768595041316093e+00,7.867768595041058965e+00,1.186776859504088577e+01
